Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,2.48,,1.85
,,RMMU2227120,2,,,,,,Checked,,,,
220384,,CGMU5437721,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.7,,13.8
220382,,CGMU5068198,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.5,,13.9
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1.1,,1.7
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,0.8,,1.7
460286,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Unchecked,9,9,,9.3
500182,,CGMU5400358,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,10.1,,10.7
500384,,CGMU5198273,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,10.1,,10.05
460482,,CGMU5113086,0,PAMIT,ESVLC/NICIO,,,,Checked,-22,-29.2,,-22.5
220184,,CGMU9375280,1,PAMIT,MTMLA/NICIO,,,,Checked,13.3,14.67,,14.2
420302,,SZLU9495048,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-19.65,,-20.24
420308,,CGMU5522192,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-25.2,,-19.7
420306,,CGMU5521175,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-19.3,,-20.1
420304,,CGMU5475790,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-19.21,,-20
500382,,SZLU9826001,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Unchecked,10,9.8,,11
220182,,TRIU8504910,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13,,14.7
220186,,TCLU1056002,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,14,,14.2
60084,,APRU5722105,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.4,,14.8
60282,,TRIU8966122,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13,,14.5
60184,,SZLU9607092,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.4
60284,,TEMU9574617,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.4,,13.35
60182,,TRLU1721760,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.3,,14.3
60482,,CGMU5253350,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.95,,13.32
60082,,TTNU8662927,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.38,,13.58
60382,,CXRU1508964,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.3
60484,,SEGU9158300,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.5
60384,,TCLU1097254,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.3,,14.2
460484,,CGMU5363927,0,PAMIT,ESVLC/PECLL,,,,Unchecked,-20,-19.7,,-21.4
501084,,TLLU1051781,0,CRMOB,ITLIV/VEMAR,,,,Unchecked,6.5,6.5,,6.8
501486,,GESU9589771,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,7,7,,7.2
501484,,CXRU1386573,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,6.5,6.5,,7.2
