Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
420184,,GESU9603329,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.8
420384,,TTNU8012705,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.9
420284,,CGMU5079382,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.5
420712(*),,CGMU4992099,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.61,,14.03
420886(*),,CGMU6534243,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.63,13.69,,13.88
420484,,TRIU8692084,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.8
420310,,CGMU5507069,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,-20,-20.17,,-20.34
420084,,CGMU5303980,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,13.5,13.5,,13.8
420086,,CRLU1410757,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.5
420382,,CGMU5052041,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,-20,-18.93,,-19.79
420312,,CGMU4945857,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,-23,-25.13,,-22
420306,,CRSU6112405,0,COCTG,FRMRS/COCTG/FRMRS,,,,Checked,-21,-25.84,,-21.16
420286,,APRU5779203,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.6
420406,,CXRU1530720,0,COCTG,ESVLC/COCTG/ESVLC,,,,Unchecked,-18,-20,,-18.2
420186,,CRSU6007708,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.4
420386,,TRLU1744766,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.7
420404,,TCLU1303740,0,COCTG,ESVLC/COCTG/ESVLC,,,,Unchecked,-20,-22.5,,-20
420182,,CGMU5228254,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,-20,-22,,-20.2
421288(*),,CGMU4988186,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.55,,13.97
420402,,CGMU9348670,0,COCTG,ESVLC/COCTG/ESVLC,,,,Unchecked,-18,-20.6,,-18
421406(*),,CGMU9342100,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.54,,13.62
421188(*),,CGMU5287853,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.3,13.2,,13.6
420482,,CGMU9318438,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,13.5,13.52,,13.83
420486,,CGMU9356417,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,13,13,,13.4
420088,,CGMU9329279,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,13.3,14.59,,14.23
420904(*),,AMCU9278839,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.61,,13.85
420082,,TRIU8621218,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,-21,-23.4,,-21
421088(*),,CGMU9327846,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.18,,14.03
420288,,CGMU9313272,0,COCTG,ITGOA/COCTG/ITGOA,,,,Checked,-20,-23.36,,-20.29
420888(*),,CGMU5439180,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.3,13.4,,13.9
420282,,APRU6109741,0,COCTG,ITGOA/COCTG/ITGOA,,,,Unchecked,-23,-25.6,,-23.1
420708(*),,AMCU9285308,0,COCTG,ITLIV/COCTG/ITLIV,,,,Checked,13.6,13.63,,14.12
420308,,CGMU5427718,0,COCTG,FRMRS/COCTG/FRMRS,,,,Checked,-21,-25.09,,-21.02
540582(*),,TTNU8634484,0,MXVER,ITLIV/MXVER/ITLIV,,,,Checked,5,5,,4.63
140986(*),,TEMU9119655,0,CRMOB,ITLIV/CRMOB/ESALG,,,,Checked,6.5,6.5,,7.2
341010,,APRU5831214,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,13.9,,14.6
420512(*),,CGMU5296270,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.5,,7.3
420812(*),,AMCU9294104,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.34,,6.75
500482,,CGMU5059560,0,CRMOB,FRMRS/CRMOB/FRMRS,,,,Unchecked,6.5,6.5,,7.5
420810(*),,CGMU6547066,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.5,,7.19
220504,,MFTU8190897,0,CRMOB,ITGOA/CRMOB,,,,Unchecked,6.5,6.5,,7.4
420802(*),,CGMU5353786,0,CRMOB,ITLIV/CRMOB,,,,Checked,6.5,5.99,,6.7
420504(*),,CGMU4987678,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,7,7.89,,7.88
420602(*),,CGMU5306634,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.5,,7.3
340808,,APRU5841697,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,14,,14.5
180106(*),,CGMU5240666,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.38,,6.57
180108(*),,CGMU9381955,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.45,,6.72
341006,,TRIU8623340,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,13.9,,14.3
220506,,TLLU1158297,0,CRMOB,ITGOA/CRMOB,,,,Unchecked,6.5,6.5,,7.7
180102(*),,TLLU1053830,0,CRMOB,ITLIV/CRMOB/ITLIV,,,,Checked,6.5,6.56,,6.81
341012,,TRIU8125645,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,14,,14.8
540682,,TCLU1290833,0,CRMOB,ESVLC/CRMOB,,,,Unchecked,-23,-25,,-23.3
341008,,TRIU8505033,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,13.9,,14.7
220508,,TLLU1160165,0,CRMOB,ITGOA/CRMOB,,,,Unchecked,6.5,6.5,,7.8
220502,,CGMU9405810,0,CRMOB,ITGOA/CRMOB/ITGOA,,,,Unchecked,12,12,,12.4
540882,,GESU9340325,0,CRMOB,ESVLC/CRMOB,,,,Unchecked,-23,-25.5,,-23
340806,,TRIU8130472,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,Unchecked,13.9,14,,14.5
141584(*),,CGMU5248013,0,CRMOB,ITLIV/CRMOB,,,,Checked,6.5,6.79,,6.69
380406,,APRU5810361,0,ESALG,JMKIN/ESALG/JMKIN,,,,Unchecked,-20,-22,,-20.2
231084,,BMOU8500977,0,ESALG,ITGOA/ESALG/ITGOA,,,,Unchecked,-20,-22.5,,-20.2
510382,,CGMU2993080,0,ESALG,FRMRS/ESALG/FRMRS,,,,Unchecked,-18,-17.01,,-17.71
151482,,CGMU3059181,0,ESALG,ESBCN/ESALG/ESBCN,,,,Checked,-20,-22.17,,-21.7
61582,,CGMU5010391,0,ESALG,GPPTP/ESALG/PRSJU,,,,Checked,-20,-22.03,,-20.29
380412,,CGMU5159960,0,ESALG,JMKIN/ESALG/HTLFF,,,,Checked,-3,-3,,-1.4
380408,,CGMU5449851,0,ESALG,JMKIN/ESALG/JMKIN,,,,Checked,-20,-18.7,,-19.1
220510,,CGMU9281180,0,ESALG,ITGOA/ESALG/ITGOA,,,,Checked,-18,-17.94,,-17.78
380410,,SEGU9159630,0,ESALG,JMKIN/ESALG/JMKIN,,,,Unchecked,-20,-22.2,,-20.3
500582,,APRU5790075,0,MTMLA,COCTG/GRSKG/PAMIT,,,,Unchecked,2,2,,3.2
260382,,CGMU5295890,0,MTMLA,DOCAU/INNSA/DOCAU,,,,Checked,20,20,,19.8
300082,,SZLU9026673,0,MTMLA,JMKIN/INNSA/JMMBJ,,,,Unchecked,-20,-22.5,,-20.3
510082,,CGMU3080867,0,MTMLA,FRMRS/DZALG/FRMRS,,,,Checked,-4,-4.25,,-3.93
500282,,CGMU5518588,0,MTMLA,FRMRS/DZALG/FRMRS,,,,Checked,-4,-4,,-3.4
581082,,TRIU8725845,0,MTMLA,ITGOA/DZALG/ITGOA,,,,Unchecked,0,0,,1
260212,,APRU6120186,0,MTMLA,USHOU/INTUT/USHOU,,,,Unchecked,-18,-20.3,,-18
260412,,TTNU8664030,0,MTMLA,USHOU/INTUT/USHOU,,,,Checked,-18,-17.52,,-18.05
190602,,CGMU3079383,0,MTMLA,COCTG/INNSA/ECGYE,,,,Unchecked,15,15,,15.7
310482,,TRIU6626946,0,MTMLA,JMKIN/INCCU/HTLFF,,,,Unchecked,5,5,,6
500584,,CGMU5159169,0,MTMLA,COCTG/INNSA/ECGYE,,,,Checked,15,15,,15.2
220482,,TCLU1156866,0,MTMLA,GPPTP/SIKOP/PRSJU,,,,Unchecked,-20,-22.6,,-20
310484,,CGMU3041979,0,MTMLA,JMKIN/INNSA/JMKIN,,,,Unchecked,20,19.8,,18.7
190502,,CGMU3083871,0,ITLIV,COCTG/ITLIV/COCTG,,,,Indeterminate,,,,
180712,,CGMU5189137,0,ITLIV,COCTG/ITLIV/COCTG,,,,Indeterminate,,,,
180606,,CGMU5222786,0,ITLIV,COCTG/ITLIV/COCTG,,,,Indeterminate,,,,
180508,,CGMU5229292,0,ITLIV,COCTG/ITLIV/COCTG,,,,Indeterminate,,,,
180808,,CGMU5235356,0,ITLIV,COCTG/ITLIV/COCTG,,,,Indeterminate,,,,
