Location,,ContainerID,Alms,LoadPort,Disch.Port,,Monitored,,Temp SP,Supply,,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
260910,,CGMU5247043,0,MTMLA,MXVER/SIKOP/MXVER/MXVER,,Checked,,18,19.19,,,18.85,,,,,,,,,
260912,,CGMU5324710,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,20,19.95,,,21.13,,,,,,,,,
260802,,TCLU1032607,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Unchecked,,1,1.1,,,1.7,,,,,,,,,
260804,,CGMU5287956,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,17,17.1,,,17.1,,,,,,,,,
260808,,CGMU5400640,0,MTMLA,MXVER/INMUN/MXVER/MXVER,,Checked,,17,17.4,,,17.6,,,,,,,,,
260810,,SEGU9541427,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,17,17.1,,,17.7,,,,,,,,,
260806,,SZLU9494490,0,MTMLA,MXVER/ITGOA/MXVER/MXVER,,Checked,,1,1,,,1.21,,,,,,,,,
270906,,CGMU2995695,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,15,15.8,,,15.5,,,,,,,,,
270904,,CXRU1165818,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,4,4,,,4.6,,,,,,,,,
260908,,CXRU1188449,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,15,14.3,,,15.9,,,,,,,,,
60482,,TRIU8722888,0,ITGOA,MXVER/BRNVT/MXVER,,Unchecked,,15,15.2,,,15.3,,,,,,,,,
271012,,CGMU3023194,0,ESBCN,MXVER/MACAS/MXVER/MXVER,,Unchecked,,12,12.6,,,12.6,,,,,,,,,
421406,,TLLU1049830,0,ESBCN,PAMIT/ESBCN/PAMIT/PAMIT,,Unchecked,,0,0.2,,,0.5,,,,,,,,,
580582,,TRLU1739395,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,-21,-22.4,,,-21.2,,,,,,,,,
580584,,CGMU5017380,0,ESVLC,MXVER/BRNVT/MXVER/MXVER,,Unchecked,,-20,-22.3,,,-20.1,,,,,,,,,
580782,,TCLU1057400,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,-20,-21.8,,,-19.7,,,,,,,,,
580784,,TCLU1155366,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,4,4.4,,,4.6,,,,,,,,,
590982,,TRIU6682596,0,ESVLC,MXVER/ITGOA/MXVER/MXVER,,Unchecked,,4,4,,,4.2,,,,,,,,,
341082,,CGMU9303340,0,USHOU,ESALG/USHOU/CGPNR,,Unchecked,,,,,,,,,,,,,,,
341182,,CGMU9325083,0,USHOU,ESALG/USHOU/GNCKY,,Indeterminate,,,,,,,,,,,,,,,
341282,,GESU9525606,0,USHOU,ESALG/SIKOP/CGPNR,,Indeterminate,,,,,,,,,,,,,,,
340984,,CXRU1321504,0,USHOU,ESALG/ESVLC/GNCKY,,Indeterminate,,,,,,,,,,,,,,,
340784,,TEMU9250834,0,USHOU,ESALG/ITGOA/CGPNR,,Indeterminate,,,,,,,,,,,,,,,
300084,,CXRU1529484,0,USHOU,PAMIT/INNSA/CLSAI,,Indeterminate,,,,,,,,,,,,,,,
340982,,CGMU5101721,0,USHOU,ESALG/INNSA/GNCKY,,Checked,,-18,-18.4,,,-18.2,,,,,,,,,
340584,,TCLU1270117,0,USHOU,ESALG/USHOU/CGPNR,,Indeterminate,,,,,,,,,,,,,,,
340782,,TRIU8680843,0,USHOU,ESALG/PKKHI/GNCKY,,Indeterminate,,,,,,,,,,,,,,,
340684,,APRU5817073,0,USHOU,ESALG/BRNVT/CGPNR,,Indeterminate,,,,,,,,,,,,,,,
341582,,TRIU8507340,0,USHOU,ESALG/GRSKG/CGPNR,,Indeterminate,,,,,,,,,,,,,,,
