Location,,ContainerID,Alms,LoadPort,,,Disch.Port,,Monitored,,Temp SP,Supply,,Return
,,RMMU4052160,1,,,,,,Unchecked,,,,,
,,RMMU4049460,1,,,,,,Unchecked,,,,,
,,LOSU6480164,1,,,,,,Unchecked,,13.9,13.9,,15
,,RMMU4518590,1,,,,,,Unchecked,,,,,
,,RMMU4796390,0,,,,,,Unchecked,,,,,
,,RMMU4528790,1,,,,,,Unchecked,,,,,
,,RMMU4135160,1,,,,,,Unchecked,,,,,
,,CGMU9296703,1,,,,,,Unchecked,,13,13,,13.9
,,RMMU2098970,1,,,,,,Unchecked,,,,,
,,RMMU8434190,1,,,,,,Unchecked,,,,,
,,RMMU4433760,1,,,,,,Unchecked,,,,,
,,RMMU1877510,1,,,,,,Unchecked,,,,,
,,TLLU1067140,1,,,,,,Unchecked,,5.19,5.31,,6.19
,,CGMU5264602,1,,,,,,Unchecked,,,,,
,,LOSU7050714,1,,,,,,Unchecked,,14,14,,15
,,RMMU4402780,1,,,,,,Unchecked,,,,,
,,CGMU4959737,1,,,,,,Unchecked,,13.31,13.38,,14.31
,,SUDU5127384,1,,,,,,Unchecked,,6.5,6.31,,7.88
,,RMMU8173870,1,,,,,,Unchecked,,,,,
,,RMMU4528890,1,,,,,,Unchecked,,,,,
,,RMMU2386680,1,,,,,,Unchecked,,,,,
,,RMMU4051060,1,,,,,,Unchecked,,,,,
,,RMMU4741590,1,,,,,,Unchecked,,,,,
,,LOSU2193809,1,,,,,,Unchecked,,13.3,13.3,,14.3
,,CGMU4975126,1,,,,,,Unchecked,,13.3,14.23,,14.14
,,CGMU3985729,1,,,,,,Unchecked,,,,,
,,RMMU4325930,1,,,,,,Unchecked,,,,,
,,RMMU1625050,1,,,,,,Unchecked,,,,,
,,CGMU9399018,1,,,,,,Unchecked,,-18,-11.18,,-0.96
,,RMMU4313690,2,,,,,,Unchecked,,,,,
260782,,TLLU1061558,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,4.81,,5.38
260882,,BMOU9641199,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,4.81,,5.5
181386,,CGMU5468980,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.9,14.1,,15.3
180310,,CRSU6114157,0,CRMOB,,,ESALG/CRMOB,,Checked,,6.5,6.33,,7.48
300206,,CGMU6507593,0,MXVER,,,MTMLA/USHOU/**MLT,,Checked,,13.31,13.31,,15.13
260508,,TLLU1070293,1,MXVER,,,ESALG/MQFDF/ESALG,,Checked,,5,5.13,,6
260686,,TTNU8977101,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,6.13,6.19,,6.5
180382,,CGMU5412019,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.9,14,,15.3
180484,,SEGU9526340,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.9,14.2,,15.8
180082,,CGMU9370992,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.9,14.94,,14.79
300210,,CGMU5467310,0,MXVER,,,MTMLA/USHOU/**MLT,,Checked,,13.5,13.9,,15
260608,,TLLU1059648,0,MXVER,,,ESALG/MQFDF/ESALG,,Checked,,5,5.06,,6.38
180404,,CGMU5547903,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.3,13.3,,16
341106,,TLLU1048350,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5.63,5.44,,5.94
260784,,BMOU9642554,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5,,5.94
460206,,CGMU5273612,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.2,13.18,,14.56
180502,,CGMU5512018,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.3,13.31,,14.14
260606,,TLLU1057162,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5.19,,5.88
460702,,CGMU5344629,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,6.5,6.6,,7.7
260610,,CAIU5587799,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,6.13,6.13,,6.63
421006,,TLLU1056206,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,6,5.88,,6.44
460404,,CGMU5360445,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.2,13.39,,14.68
180582,,TRLU1666391,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.3,13.29,,15.76
301406,,CGMU5446826,0,USHOU,,,MTMLA/USTXC/**EDK,,Checked,,-18,-22.4,,-18
180284,,AMCU9285421,0,CRMOB,,,ESALG/CRMOB,,Checked,,7,7.9,,7.85
300106,,CGMU5369571,0,MXVER,,,MTMLA/USHOU/**MLT,,Checked,,13,13.2,,14.5
460608,,CGMU5547740,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,13.4,,16.5
180184,,CGMU6521879,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.88,14.19,,15
180482,,CGMU5515758,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.3,13.33,,14.6
460110,,CGMU5236985,1,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,14.22,,14.16
260106,,CGMU4955897,0,CRMOB,,,ITLIV/CRMOB,,Checked,,13.88,14,,15.19
340510,,TLLU1052601,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5,,5.88
180412,,TLLU1080223,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.31,13.31,,14.06
380086,,CGMU5034726,0,CRMOB,,,MTMLA/CRMOB,,Checked,,13.3,13.17,,13.93
260712,,TLLU1059946,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,4.81,,5.88
340312,,TLLU1067453,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,4.94,,5.88
181582,,CGMU9384701,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.9,15.35,,14.9
460106,,CGMU4998435,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,12.78,,15.02
341110,,TTNU8634648,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,6.13,6.19,,6.25
460610,,CGMU5231160,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.2,13.2,,15.1
260682,,BMOU9643709,1,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5,,5.81
421004,,TTNU8626977,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,5,5,,5.81
420910,,TLLU1053716,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,5,4.94,,6
380484,,CGMU9380711,0,CRMOB,,,MTMLA/CRMOB,,Checked,,13.2,14.55,,14.19
420712,,CGMU5037509,0,USHOU,,,ESALG/USHOU/CDMAT,,Unchecked,,-18,-20.55,,-17.75
460210,,GESU9512698,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,7.5,7.5,,8.5
181584,,CGMU5114740,0,CRMOB,,,ESALG/CRMOB,,Checked,,13.3,13.3,,14.9
420908,,CGMU6910021,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,5,5.1,,5.9
460402,,CGMU5309398,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.2,13.3,,15.8
460406,,CGMU5029606,1,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,11.44,,13.82
260112,,CGMU5286116,0,CRMOB,,,ITLIV/CRMOB,,Checked,,6.5,6.8,,8.4
300212,,CGMU5394300,0,MXVER,,,MTMLA/USHOU/**MLT,,Checked,,13.5,13.6,,15.4
460712,,CGMU5247911,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.2,13.92,,14.09
340506,,TTNU8636785,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,6.13,6,,6.13
341306,,TLLU1069754,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5.5,5.44,,6.13
300208,,CGMU9400079,0,MXVER,,,MTMLA/USHOU/**MLT,,Checked,,13.5,13.5,,13.9
261082,,TTNU8635135,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5.13,,5.19
420906,,CGMU6908127,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,5,5.1,,6.2
341308,,BMOU9644578,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,4.94,,5.81
460002,,CGMU5114122,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,12.8,12.8,,16.1
341412,,CGMU5305957,0,CRMOB,,,ESALG/CRMOB,,Checked,,7,7.1,,8.4
260602,,TLLU1079217,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,6,6.13,,6.19
460304,,CGMU5130925,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,13.2,,16.8
460806,,CGMU5041181,1,CRMOB,,,MTMLA/CRMOB,,Unchecked,,12.8,12.81,,14.49
380382,,CGMU5410422,0,CRMOB,,,MTMLA/CRMOB/,,Checked,,13.3,13.6,,15.4
380082,,CGMU5544083,0,CRMOB,,,MTMLA/CRMOB,,Checked,,13.2,13.2,,15.7
421008,,CAIU5654198,0,MXVER,,,ESALG/USHOU/ESALG,,Unchecked,,5,5.06,,5.81
340508,,TLLU1069292,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5.13,,5.81
380284,,CGMU5092804,0,CRMOB,,,MTMLA/CRMOB,,Checked,,12.8,12.79,,13.71
460310,,TLLU1068090,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.19,13.25,,14
460604,,CRSU6099406,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,11.44,,13.84
380486,,CGMU5311435,0,CRMOB,,,MTMLA/CRMOB,,Checked,,6.5,7,,7.4
460808,,CGMU5068198,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,12.8,12.8,,14.5
420204,,CGMU6536354,0,MXVER,,,ITLIV/USHOU/ITLIV,,Unchecked,,7,7,,8.13
340512,,BMOU9641650,0,MXVER,,,ESALG/USHOU/ESALG,,Checked,,5,5,,5.75
260304,,CGMU5086437,0,CRMOB,,,ITLIV/CRMOB,,Checked,,13.3,13.3,,14.1
340306,,TLLU1046640,0,MXVER,,,ESALG/MQFDF/ESALG,,Checked,,5.63,5.5,,6.25
260212,,CGMU9304990,0,CRMOB,,,ITLIV/CRMOB,,Checked,,6.5,6.49,,7.22
460708,,CGMU5049834,0,CRMOB,,,MTMLA/CRMOB,,Unchecked,,13.3,11.3,,14.03
341406,,CGMU5071078,0,CRMOB,,,ESALG/CRMOB,,Checked,,7,7,,8.3
