Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
100310,,CGMU9282464,0,COCTG,ITGOA/ESALG/ITGOA,,,,Checked,13.3,14.29,,14.37
140608,,SEGU9538676,0,COCTG,ESVLC/CMDLA/ESVLC,,,,Checked,-18,-22.4,,-17.6
140484(*),,CGMU4926179,1,COCTG,ITLIV/MAAGA/ITLIV,,,,Checked,13.63,13.69,,14.19
140412,,SZLU9498279,0,COCTG,ESVLC/ESALG/ESVLC,,,,Checked,-20,-18.95,,-19.87
140684(*),,CGMU5104335,0,COCTG,ITLIV/ESALG/ITLIV,,,,Checked,13.9,13.9,,15.3
141284(*),,CGMU9387655,0,COCTG,ITLIV/GAPOG/ITLIV,,,,Checked,13.3,13.52,,13.38
381284,,CGMU5064696,1,COCTG,ITGOA/GAPOG/ITGOA,,,,Checked,13.3,13.3,,13.9
381484,,CGMU5322888,0,COCTG,ITGOA/GAPOG/ITGOA,,,,Checked,13.3,13.99,,14.09
620982,,CGMU5291405,0,COCTG,FRMRS/ESALG/FRMRS,,,,Checked,-20,-19.5,,-19.2
381682,,CGMU5480728,0,COCTG,ITGOA/BRSSZ/ITGOA,,,,Checked,13.3,12.84,,13.81
381282,,AMCU9287527,0,COCTG,ITGOA/BRSSZ/ITGOA,,,,Checked,13.8,14.25,,13.8
381486,,CGMU5006370,0,COCTG,ITGOA/ESALG/ITGOA,,,,Checked,13.3,13.33,,13.79
381286,,CGMU5419733,0,COCTG,ITGOA/USHOU/ITGOA,,,,Checked,13.3,13.4,,13.7
140482(*),,CGMU6503406,0,COCTG,ITLIV/CRMOB/ITLIV,,,,Checked,13.31,13.38,,13.88
141484(*),,CGMU9377390,0,COCTG,ITLIV/BRIOA/ITLIV,,,,Checked,13.9,14.27,,13.8
140884(*),,TTNU8689980,0,COCTG,ITLIV/ESALG/ITLIV,,,,Checked,-18,-24.04,,-20.02
140688(*),,CGMU5142802,1,COCTG,ITLIV/MQFDF/ITLIV,,,,Checked,13.6,13.6,,14.2
621382,,CGMU5311570,0,COCTG,FRMRS/BRIOA/FRMRS,,,,Checked,-18,-16.8,,-17.1
141182(*),,CRSU6114650,0,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13.3,14.63,,14.25
100212,,CGMU5078220,0,COCTG,ITGOA/CMDLA/ITGOA,,,,Checked,11,11.02,,12
100112,,CGMU5507963,0,COCTG,ITGOA/CMDLA/ITGOA,,,,Checked,-21,-20.47,,-21.16
100408,,SZLU9029482,0,COCTG,ITGOA/CRMOB/ITGOA,,,,Unchecked,,,,
141184(*),,CGMU9305220,1,COCTG,ITLIV/GAPOG/ITLIV,,,,Checked,13.6,13.68,,13.92
621182,,CGMU5098119,0,COCTG,FRMRS/BRIOA/FRMRS,,,,Checked,-18,-26.2,,-18.2
100404,,CGMU9396338,0,COCTG,ITGOA/USHOU/ITGOA,,,,Checked,13.3,13.26,,13.59
140882(*),,CGMU4911055,1,COCTG,ITLIV/ESALG/ITLIV,,,,Checked,13.6,13.51,,14.03
140084(*),,CGMU4923776,2,COCTG,ITLIV/ESALG/ITLIV,,,,Checked,13.6,13.52,,14.06
100406,,CGMU9298650,0,COCTG,ITGOA/ESALG/ITGOA,,,,Checked,13.3,13.3,,13.7
141686(*),,CGMU5107503,1,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13.6,13.6,,13.9
141582(*),,CGMU5019634,0,COCTG,ITLIV/BRSSZ/ITLIV,,,,Checked,13,12.99,,13.42
140186(*),,AMCU9276097,0,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13,13.78,,13.79
100202,,BMOU9651176,0,COCTG,ITGOA/USHOU/ITGOA,,,,Checked,13.31,13.19,,13.5
140512,,CGMU5297240,0,COCTG,ITGOA/CRMOB/ITGOA,,,,Checked,-21,-19.8,,-20.1
100108,,CAIU5589256,0,COCTG,ITGOA/BRIOA/ITGOA,,,,Unchecked,13.5,13.5,,14.56
100208,,CGMU9336370,0,COCTG,ITGOA/CMDLA/ITGOA,,,,Unchecked,,,,
140612,,SZLU9642196,0,COCTG,ESVLC/ESALG/ESVLC,,,,Unchecked,,,,
140404,,CGMU5426563,0,COCTG,ESVLC/BRSSZ/ESVLC,,,,Checked,-22,-25.88,,-22.21
621582,,TEMU9116213,0,COCTG,FRMRS/ESALG/FRMRS,,,,Unchecked,,,,
140408,,SEGU9131438,0,COCTG,ESVLC/ESALG/ESVLC,,,,Checked,-20,-23.21,,-21.77
141088(*),,CGMU9317827,1,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13.6,14.74,,14.59
141186(*),,TCLU1286638,0,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13.31,13.25,,13.88
381084,,CGMU5259825,0,COCTG,ITGOA/GAPOG/ITGOA,,,,Unchecked,,,,
100312,,TRLU1712835,0,COCTG,ITGOA/CMDLA/ITGOA,,,,Unchecked,,,,
140610,,CGMU5187690,1,COCTG,ESVLC/MAAGA/ESVLC,,,,Checked,-23,-25.6,,-22.1
380882,,SEGU9443755,0,COCTG,ITGOA/ESALG/ITGOA,,,,Unchecked,,,,
381088,,TRIU8128958,0,COCTG,ITGOA/MAAGA/ITGOA,,,,Unchecked,,,,
100106,,APRU6105685,0,COCTG,ITGOA/BRSSZ/ITGOA,,,,Unchecked,,,,
381086,,CAIU5554141,0,COCTG,ITGOA/ESALG/ITGOA,,,,Unchecked,,,,
100210,,CGMU6526968,0,COCTG,ITGOA/ESALG/ITGOA,,,,Checked,13.31,13.38,,14
140486(*),,TTNU8686370,1,COCTG,ITLIV/USHOU/ITLIV,,,,Checked,13.6,13.2,,13.73
141482(*),,CGMU5031861,1,COCTG,ITLIV/ESALG/ITLIV,,,,Checked,13.6,13.62,,13.94
140606,,CGMU5398815,0,COCTG,ESVLC/ESALG/ESVLC,,,,Checked,-20,-19.8,,-19.4
381288,,TCLU1147268,0,COCTG,ITGOA/ESALG/ITGOA,,,,Unchecked,,,,
