Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,Temp SP,,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
540384,,CGMU4954226,0,PAMIT,ESBCN/NICIO,Checked,,-17.81,,-16.88,,-14.13,,,,,,,,,,
540382,,TTNU8220756,0,PAMIT,ESVLC/NICIO,Unchecked,,-23,,-26,,-24.7,,,,,,,,,,
340412,,BMOU9644433,0,CRMOB,ESBCN,Checked,,13.31,,13.38,,13.69,,,0,20.3,,,0,0.4,,
340384,,CXRU1528580,0,CRMOB,ESBCN,Unchecked,,13.3,,13.3,,13.9,,,,,,,,,,
340382,,CGMU4989881,0,CRMOB,ESBCN,Checked,,13.9,,13.86,,14.54,,,,,,,,,,
340410,,APRU5600160,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.3,,,,,,,,,,
340408,,APRU5841505,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.5,,,,,,,,,,
340406,,TCLU1075574,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.5,,,,,,,,,,
540182,,CGMU5179910,0,CRMOB,ESVLC,Checked,,-23,,-26.3,,-22,,,,,,,,,,
540184,,CGMU5103149,0,CRMOB,ESVLC,Checked,,-18,,-23.3,,-16.6,,,,,,,,,,
540082,,CGMU5084537,0,CRMOB,ESVLC,Unchecked,,-23,,-24.3,,-23.1,,,,,,,,,,
420302,,TLLU1045325,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-23.75,,-19.94,,,0,,,,0,25.5,,
420410,,CGMU5269079,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-24.6,,-25.08,,,,,,,,,,
420404,,CGMU5460193,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-23.8,,-24.3,,,,,,,,,,
,,RMMU4422370,2,,,Checked,,,,,,,,,,,,,,,,
420312,,CGMU5183801,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-23.95,,-24.85,,,,,,,,,,
420310,,SEKU9060827,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-26.31,,-22.81,,,,,,,,,,
420282,,CXRU1638401,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-27.06,,-23.52,,,,,,,,,,
420482,,CGMU5198838,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-25.26,,-25.21,,,,,,,,,,
420382,,CGMU5567767,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-18.5,,-19.3,,,,,,,,,,
420184,,TLLU1069667,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-21.88,,-20,,,0,0,,,0,25.5,,
420084,,CGMU5197370,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-29.66,,-24.99,,,,,,,,,,
420306,,FSCU5963764,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.7,,-25.4,,,,,,,,,,
420082,,TRIU8511334,0,COCTG,ESVLC/ESVLC,Unchecked,,13,,13.1,,13.9,,,,,,,,,,
340082,,TTNU8204781,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2,,3,,,,,,,,,,
420408,,CGMU5435971,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.5,,-25.1,,,,,,,,,,
340386,,CGMU5479218,0,COCTG,ESBCN/ESBCN,Checked,,1,,0.98,,1.06,,,,,,,,,,
340182,,APRU5855330,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2,,2.9,,,,,,,,,,
420406,,CXRU1383790,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-22.1,,-19,,,,,,,,,,
420412,,SEGU9530490,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-25.5,,-24.7,,,,,,,,,,
420182,,TRIU8504799,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-18.7,,-17.9,,,,,,,,,,
340184,,SZLU9498155,0,COCTG,ESBCN/ESBCN,Checked,,1,,0.8,,1.55,,,,,,,,,,
420308,,TEMU9238269,0,COCTG,ESVLC/ESVLC,Unchecked,,-21,,-22.1,,-21.3,,,,,,,,,,
340084,,CGMU6913904,0,COCTG,ESBCN/ESBCN,Checked,,1,,1,,1.6,,,,,,,,,,
420304,,SEGU9964157,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-28.4,,-25.8,,,,,,,,,,
180402,,CGMU4983570,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-25.61,,-20.11,,,,,,,,,,
180408,,CGMU9324425,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-21.91,,-19.72,,,,,,,,,,
421310,,APRU6116355,0,ESALG,GPPTP/ESVGO/GPPTP,Unchecked,,-20,,-23.6,,-20.8,,,,,,,,,,
180410,,CAIU5539430,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-22,,-20.4,,,,,,,,,,
180412,,CGMU5093483,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.1,,-19.9,,,,,,,,,,
260808,,CGMU9362169,0,ESALG,COCTG/ESALG/CLSAI,Checked,,16,,16.04,,16.46,,,,,,,,,,
180406,,SEGU9130051,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-20.7,,-20.4,,,,,,,,,,
180404,,TRIU8070671,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-23.8,,-20.6,,,,,,,,,,
180308,,TTNU8664494,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.7,,-20.5,,,,,,,,,,
260806,,TTNU8777973,0,ESALG,COCTG/ESALG/CLSAI,Unchecked,,16,,16.3,,16.4,,,,,,,,,,
340910,,CGMU4946658,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.81,,-17.19,,,,,,,,,,
261212,,CGMU4994954,0,MTMLA,DOCAU/INCOK/DOCAU,Checked,,-21,,-23.95,,-20.72,,,,,,,,,,
340908,,GESU9552448,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-18,,-17.72,,,,,,,,,,
340710,,CAIU5588630,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.06,,-18,,,0,20.7,,,0,25.5,,
300810,,TCLU1144546,0,MTMLA,JMKIN/TRMER/VEPBL,Unchecked,,17,,16.9,,17.5,,,,,,,,,,
300706,,BMOU9725788,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,14,,14.1,,15.1,,,,,,,,,,
300906,,CGMU5364538,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,19.15,,18.21,,,,,,,,,,
300808,,CGMU5314753,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,18.1,,18.2,,,,,,,,,,
300708,,APRU5777730,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.5,,,,,,,,,,
301010,,GESU9590345,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.3,,,,,,,,,,
300806,,APRU5797402,0,MTMLA,JMKIN/LBBEY/VELAG,Unchecked,,18,,18.1,,18.6,,,,,,,,,,
300910,,APRU5798939,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-20.3,,-20.1,,,,,,,,,,
301008,,SZLU9625774,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-23.6,,-20.2,,,,,,,,,,
220610,,TCLU1283074,0,MTMLA,COCTG/INMUN/COCTG,Unchecked,,22,,21.8,,22.6,,,,,,,,,,
261112,,CGMU5058733,0,MTMLA,DOCAU/INNSA/DOCAU,Checked,,-20,,-27,,-20.4,,,,,,,,,,
300908,,SZLU9642200,0,MTMLA,JMKIN/INNSA/JMKIN,Unchecked,,-20,,-20.6,,-19.8,,,,,,,,,,
341206,,CRSU6095972,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19,,-18,,,,,,,,,,
341208,,CGMU9318470,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-18.8,,-18.1,,,,,,,,,,
220612,,CGMU5479780,0,MTMLA,COCTG/SIKOP/COCTG,Unchecked,,20,,21.11,,20.34,,,,,,,,,,
340808,,TRIU8127334,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19.3,,-18.1,,,,,,,,,,
301006,,CGMU5242015,0,MTMLA,JMKIN/INCOK/MXPGO,Checked,,-18,,-18.67,,-18.23,,,,,,,,,,
220510,,CGMU5410994,0,MTMLA,COCTG/SIKOP/COCTG,Unchecked,,20,,20.2,,20.5,,,,,,,,,,
340906,,CGMU5077899,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19.5,,-18.2,,,,,,,,,,
220912,,CGMU5459124,0,ITLIV,COCTG/ITLIV/COCTG,Checked,,6,,5.8,,6.5,,,,,,,,,,
220910,,CGMU5143835,0,ITLIV,COCTG/ITLIV/COCTG,Checked,,10,,10.2,,10.6,,,,,,,,,,
420912,,CAIU5540810,0,ITLIV,GPPTP/ITLIV/GPPTP,Unchecked,,12,,12,,12.6,,,,,,,,,,
260110,,SEGU9685424,0,ITLIV,USHOU/ITLIV/USHOU,Checked,,-25,,-24.7,,-24.5,,,,,,,,,,
420910,,TLLU1042352,0,ITLIV,GPPTP/ITLIV/GPPTP,Unchecked,,14,,13.9,,14.6,,,,,,,,,,
450608,,CGMU3015481,0,ITGOA,MXVER/ITGOA,Checked,,27,,26.93,,27.1,,,,,,,,,,
450602,,CGMU3027353,0,ITGOA,MXVER/ITGOA,Checked,,25,,26.1,,25.95,,,,,,,,,,
420882,,APRU6109839,0,ITGOA,JMKIN/ITGOA/NZTRG,Unchecked,,5,,5,,5.9,,,,,,,,,,
450604,,CGMU3036822,0,ITGOA,MXVER/ITGOA,Unchecked,,27,,27.2,,27.9,,,,,,,,,,
380686,,CGMU5026546,0,ITGOA,COCTG/ITGOA/PAMIT,Unchecked,,16,,16.2,,16.8,,,,,,,,,,
380682,,CGMU5096970,0,ITGOA,COCTG/ITGOA/CLSAI,Unchecked,,16,,16.1,,18,,,,,,,,,,
420684,,CGMU5455242,0,ITGOA,JMKIN/ITGOA/NCNOU,Checked,,14,,14.2,,14.5,,,,,,,,,,
380884,,CGMU9404285,0,ITGOA,COCTG/ITGOA/PAMIT,Checked,,2,,3.12,,2.71,,,,,,,,,,
420682,,CRSU6016839,0,ITGOA,JMKIN/KYGEC,Unchecked,,14,,14,,14.9,,,,,,,,,,
450610,,CXRU1078800,0,ITGOA,MXVER/ITGOA,Unchecked,,27,,27.4,,27.8,,,,,,,,,,
300382,,GESU9586197,0,ITGOA,GPPTP,Unchecked,,-20,,-23.4,,-20.7,,,,,,,,,,
450606,,SZLU2002392,0,ITGOA,MXVER/ITGOA,Unchecked,,27,,27.1,,27.9,,,,,,,,,,
381084,,TRIU8185201,0,ITGOA,COCTG/ITGOA/CLSAI,Unchecked,,4,,4.1,,5.4,,,,,,,,,,
380684,,TRIU8972378,0,ITGOA,COCTG/ITGOA/CLSAI,Unchecked,,16,,16,,17.8,,,,,,,,,,
380886,,TRLU1740328,0,ITGOA,COCTG/ITGOA/CLSAI,Unchecked,,16,,16.1,,18,,,,,,,,,,
300384,,TTNU8073444,0,ITGOA,GPPTP/ITGOA,Unchecked,,14,,14.3,,15.1,,,,,,,,,,
380882,,TTNU8346750,0,ITGOA,COCTG/ITGOA/ECGYE,Unchecked,,14,,14.2,,15.1,,,,,,,,,,
381082,,TTNU8380461,0,ITGOA,COCTG/ITGOA/ECGYE,Unchecked,,14,,14.2,,14.8,,,,,,,,,,
391582,,BMOU8710037,0,FRMRS,COCTG/FRMRS/ECGYE,Indeterminate,,,,,,,,,,,,,,,,
180582,,CGMU5462241,0,FRMRS,JMKIN/FRMRS/VELAG,Checked,,20,,20.1,,20.1,,,,,,,,,,
180584,,SZLU9493765,0,FRMRS,JMKIN/FRMRS/VELAG,Checked,,20,,19.04,,20.07,,,,,,,,,,
180782,,CGMU5109553,0,FRMRS,JMKIN/FRMRS/VELAG,Indeterminate,,,,,,,,,,,,,,,,
180906,,APRU5725779,0,FRMRS,JMKIN/FRMRS/NANAS,Indeterminate,,,,,,,,,,,,,,,,
180908,,TRIU8511458,0,FRMRS,JMKIN/FRMRS/TRTRG,Indeterminate,,,,,,,,,,,,,,,,
180910,,CGMU5606101,0,FRMRS,JMKIN/FRMRS/97977,Checked,,20,,19.88,,20.31,,,,,,,,,,
180912,,CGMU6919097,0,FRMRS,JMKIN/FRMRS/97977,Checked,,20,,20.1,,20.5,,,,,,,,,,
381182,,APRU5720226,0,FRMRS,COCTG/FRMRS/DOCAU,Indeterminate,,,,,,,,,,,,,,,,
381184,,CXRU1600828,0,FRMRS,COCTG/ITSAL/CRCRP,Indeterminate,,,,,,,,,,,,,,,,
381382,,CGMU5035912,0,FRMRS,COCTG/ITSAL/CRCRP,Indeterminate,,,,,,,,,,,,,,,,
381384,,BMOU9882534,0,FRMRS,COCTG/ITSAL/CRCRP,Indeterminate,,,,,,,,,,,,,,,,
