Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,1.81,,1.52
,,RMMU2227120,2,,,,,,Checked,,,,
220384,,CGMU5437721,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13,,13.7
220382,,CGMU5068198,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.5,,13.9
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1.1,,1.7
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1.1,,1.7
460286,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Unchecked,9,9.1,,9.2
500182,,CGMU5400358,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,10.3,,10.8
500384,,CGMU5198273,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,10.01,,10.02
460482,,CGMU5113086,0,PAMIT,ESVLC/NICIO,,,,Checked,-22,-27.5,,-21.4
220184,,CGMU9375280,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,14.79,,14.27
420302,,SZLU9495048,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-21.21,,-19.85
420308,,CGMU5522192,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-25,,-19.5
420306,,CGMU5521175,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-27.8,,-20.8
420304,,CGMU5475790,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-19.04,,-19.94
500382,,SZLU9826001,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Unchecked,10,9.9,,10.5
220182,,TRIU8504910,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13,,14.5
220186,,TCLU1056002,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,14,,14
60084,,APRU5722105,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.4,,14.6
60282,,TRIU8966122,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13,,14.3
60184,,SZLU9607092,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.2
60284,,TEMU9574617,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.32,,13.31
60182,,TRLU1721760,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.3,,14.1
60482,,CGMU5253350,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,12.53,,13.32
60082,,TTNU8662927,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.47,,13.49
60382,,CXRU1508964,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.1
60484,,SEGU9158300,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.3
60384,,TCLU1097254,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.3,,14
460484,,CGMU5363927,0,PAMIT,ESVLC/PECLL,,,,Unchecked,-20,-21.7,,-20.5
501084,,TLLU1051781,0,CRMOB,ITLIV/VEMAR,,,,Unchecked,6.5,6.4,,6.7
501486,,GESU9589771,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,7,7,,7.2
501484,,CXRU1386573,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,6.5,6.4,,6.9
300882,,CGMU5222024,0,CRMOB,MTMLA/CRMOB,,,,Unchecked,6.5,6.6,,6.8
501482,,CGMU5348809,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,13.3,13.8,,13.7
100082,,CGMU9374827,0,CRMOB,ITLIV/CRMOB,,,,Checked,13.3,13.1,,13.44
380288,,CXRU1554091,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,13.3,12.8,,14.1
100088,,CGMU6539060,0,CRMOB,ITLIV/CRMOB,,,,Checked,13.31,13.38,,13.69
580184,,TTNU8635958,0,CRMOB,ITLIV/CRMOB,,,,Checked,13.31,13.25,,13.5
180806,,TTNU8308913,0,CRMOB,ITGOA/CRMOB,,,,Unchecked,6.5,6.5,,6.9
580388,,SZLU9024454,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,6.5,6.4,,6.6
100786,,SEGU9225250,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,6.5,6.7,,6.8
500388,,CAIU5547836,0,CRMOB,ITLIV/CRMOB,,,,Unchecked,6.5,6.5,,6.8
300886,,GESU9562235,0,CRMOB,MTMLA/CRMOB,,,,Unchecked,13.2,13.9,,14.2
300788,,CGMU9377174,0,CRMOB,MTMLA/CRMOB/MTMLA,,,,Checked,13.5,13.19,,13.74
300382,,TRIU8689985,0,CRMOB,MTMLA/CRMOB,,,,Unchecked,13.5,13.8,,13.8
260882,,CGMU4981052,0,CRMOB,MTMLA/CRMOB/ESALG,,,,Unchecked,13.5,13.6,,14.1
300688,,TTNU8373858,0,CRMOB,MTMLA/CRMOB/MTMLA,,,,Unchecked,13.5,13.7,,13.9
261682,,CGMU5112808,0,CRMOB,MTMLA/CRMOB/MAPTM,,,,Checked,13.5,13.5,,14.1
381486,,APRU5718039,0,CRMOB,MTMLA/CRMOB,,,,Unchecked,6.5,6.6,,6.8
