Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,1.63,,1.45
,,RMMU2227120,2,,,,,,Checked,,,,
220384,,CGMU5437721,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.7,,14.7
220382,,CGMU5068198,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.5,,14
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1.3,,2.6
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,0.9,,2.5
460286,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Unchecked,9,8.4,,9.3
500182,,CGMU5400358,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,9.9,,11
500384,,CGMU5198273,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Checked,10,10.05,,10.11
460482,,CGMU5113086,0,PAMIT,ESVLC/NICIO,,,,Checked,-22,-27.2,,-20.9
220184,,CGMU9375280,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,11.16,,13.88
420302,,SZLU9495048,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-18.9,,-19.9
420308,,CGMU5522192,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-27.7,,-20.7
420306,,CGMU5521175,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-27.9,,-21.6
420304,,CGMU5475790,0,PAMIT,ESBCN/MXZLO,,,,Checked,-20,-19.52,,-20.2
500382,,SZLU9826001,0,PAMIT,ITLIV/PAMIT/ITLIV,,,,Unchecked,10,9.9,,11
220182,,TRIU8504910,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13,,14.6
220186,,TCLU1056002,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.8,,14.1
60084,,APRU5722105,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.4,,14.7
60282,,TRIU8966122,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.2,,14.4
60184,,SZLU9607092,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,13.1,,14.3
60284,,TEMU9574617,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.13,,13.62
60182,,TRLU1721760,0,PAMIT,MTMLA/NICIO,,,,Unchecked,13.3,12.9,,14.2
60482,,CGMU5253350,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,14.54,,13.4
60082,,TTNU8662927,0,PAMIT,MTMLA/NICIO,,,,Checked,13.3,13.17,,13.74
