Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
300588,,CGMU5258351,0,USHOU,MTMLA/USHOU/JOAQJ,Checked,,,20,19.95,,20.11,,,,,,,,,,
220610,,CGMU9405888,0,MXVER,MTMLA/PAMIT/MTMLA,Checked,,,18,19.27,,18.89,,,,,,,,,,
300688,,CGMU5516630,0,USHOU,MTMLA/USHOU/TRAVC,Checked,,,20,20.6,,20.25,,,,,,,,,,
300684,,CGMU4977941,0,USHOU,MTMLA/USHOU/SAJED,Checked,,,14,13.98,,14.52,,,,,,,,,,
220608,,CGMU5294934,0,MXVER,MTMLA/PAMIT/MTMLA,Checked,,,18,18.3,,18.8,,,,,,,,,,
220604,,CGMU5373606,0,MXVER,MTMLA/USHOU/MTMLA,Checked,,,18,18.1,,18.6,,,,,,,,,,
300586,,CGMU5424600,0,USHOU,MTMLA/USHOU/TRAVC,Checked,,,20,20,,20.9,,,,,,,,,,
500882,,TTNU8639758,0,MXVER,ESALG/USHOU/ESALG,Checked,,,5.5,5.63,,5.75,,,4,3.9,,,6,5.5,,
220602,,TTNU8621126,0,MXVER,MTMLA/ECMEC/MTMLA,Checked,,,7.19,7.31,,7.25,,,5,5,,,5,5.1,,
220606,,CGMU5170321,0,MXVER,MTMLA/NICIO/MTMLA,Checked,,,18,18,,18.69,,,,,,,,,,
500784,,TTNU8624444,0,MXVER,ESALG/USHOU/ESALG,Checked,,,5,4.88,,5.5,,,5,4.9,,,5,5.2,,
500584,,TLLU1079921,0,MXVER,ESALG/USHOU/ESALG,Checked,,,5.5,5.31,,5.63,,,5,5,,,5,5.2,,
500684,,TTNU8623659,0,MXVER,ESALG/USHOU/ESALG,Checked,,,5,5.13,,5.25,,,5,4.9,,,5,5.1,,
500582,,TTNU8628795,0,MXVER,ESALG/PAMIT/ESALG,Checked,,,5,5.13,,5.56,,,5,9,,,5,6.1,,
300582,,CGMU5058029,0,USHOU,MTMLA/USHOU/SAJED,Checked,,,14,14,,14.6,,,,,,,,,,
300584,,SEKU9058286,0,USHOU,MTMLA/USHOU/SAJED,Checked,,,14,14.19,,15.31,,,,,,,,,,
291410,,CGMU2998185,0,USHOU,MTMLA/USHOU/KWSAA,Checked,,,5,5.13,,7.13,,,,,,,,,,
500782,,TLLU1049589,0,MXVER,ESALG/USHOU/ESALG,Unchecked,,,5,5,,6,,,,4.9,,,,5.2,,
300682,,TRIU8124280,0,USHOU,MTMLA/USHOU/SAJED,Unchecked,,,14,14.2,,14.6,,,,,,,,,,
500682,,TLLU1049927,0,MXVER,ESALG/USHOU/ESALG,Unchecked,,,5.5,5.5,,6.1,,,,5,,,,5.8,,
500982,,CAIU5557201,0,MXVER,ESALG/MXESE/ESALG,Unchecked,,,5.5,5.6,,6.1,,,,11.5,,,,6,,
580082,,TRIU8687004,0,USHOU,ESALG/USHOU/GQBSG,Unchecked,,,-18,-19,,-18.1,,,,,,,,,,
580182,,CXRU1314568,0,USHOU,ESALG/USHOU/GQSSG,Unchecked,,,-18,-20.1,,-18.4,,,,,,,,,,
580382,,TEMU9252267,0,USHOU,ESALG/USHOU/GQSSG,Unchecked,,,-18,-18.6,,-18,,,,,,,,,,
300686,,CGMU5054321,0,USHOU,MTMLA/USHOU/SAJED,Unchecked,,,14,14.1,,14.6,,,,,,,,,,
540384,,CGMU4954226,0,PAMIT,ESBCN/NICIO,Checked,,,-17.81,-22.5,,-17.69,,,,,,,,,,
260306,,CGMU6914480,0,PAMIT,ITLIV/ECMEC,Checked,,,-20,-23.5,,-18.6,,,,,,,,,,
260308,,CGMU5252380,0,PAMIT,ITLIV/PAMIT/ITLIV,Checked,,,-18,-21.44,,-17.76,,,,,,,,,,
580282,,TTNU8630560,0,PAMIT,ESALG/PECLL,Checked,,,6,5.88,,6.56,,,5,10.9,,,5,4.6,,
100782,,CGMU5158835,0,PAMIT,ESALG/PAMIT/ESALG,Checked,,,-35,-40.5,,-36.9,,,,,,,,,,
100586,,CGMU6910968,0,PAMIT,ESALG/ECMEC,Checked,,,-18,-18,,-16.9,,,,,,,,,,
,,RMMU4110210,2,,,Checked,,,,,,,,,,,,,,,,
