Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,Temp SP,,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
540384,,CGMU4954226,0,PAMIT,ESBCN,Checked,,-17.81,,-19.5,,-17.63,,,,,,,,,,
540382,,TTNU8220756,0,PAMIT,ESVLC,Unchecked,,-23,,-26.2,,-24.6,,,,,,,,,,
541182,,APRU5729630,0,CRMOB,FRMRS,Unchecked,,-23.3,,-25.1,,-23.4,,,,,,,,,,
340412,,BMOU9644433,0,CRMOB,ESBCN,Checked,,13.31,,13.19,,13.69,,,0,20.3,,,0,0.4,,
340384,,CXRU1528580,0,CRMOB,ESBCN,Unchecked,,13.3,,13.4,,14,,,,,,,,,,
340382,,CGMU4989881,0,CRMOB,ESBCN,Checked,,13.9,,13.82,,14.49,,,,,,,,,,
340410,,APRU5600160,0,CRMOB,ESBCN,Unchecked,,13.9,,13.9,,14.4,,,,,,,,,,
340408,,APRU5841505,0,CRMOB,ESBCN,Unchecked,,13.9,,13.9,,14.6,,,,,,,,,,
340406,,TCLU1075574,0,CRMOB,ESBCN,Unchecked,,13.9,,13.9,,14.6,,,,,,,,,,
541384,,CGMU5394830,0,CRMOB,FRMRS,Checked,,-28,,-29.7,,-27.8,,,,,,,,,,
541382,,CGMU5359505,0,CRMOB,FRMRS,Checked,,-18,,-17.59,,-18.74,,,,,,,,,,
541186,,TTNU8659559,0,CRMOB,FRMRS,Checked,,-18,,-21.09,,-19.17,,,,,,,,,,
541386,,TTNU8225911,0,CRMOB,FRMRS,Unchecked,,-18,,-19.3,,-17.9,,,,,,,,,,
540182,,CGMU5179910,0,CRMOB,ESVLC,Checked,,-23,,-25.7,,-22.6,,,,,,,,,,
540184,,CGMU5103149,0,CRMOB,ESVLC,Checked,,-18,,-19.6,,-17.4,,,,,,,,,,
540082,,CGMU5084537,0,CRMOB,ESVLC,Unchecked,,-23,,-24.4,,-23,,,,,,,,,,
541184,,TTNU8381730,0,CRMOB,FRMRS,Unchecked,,-18,,-20.1,,-18.2,,,,,,,,,,
420302,,TLLU1045325,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-23.31,,-19.94,,,0,,,,0,25.5,,
420410,,CGMU5269079,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-27.23,,-24.81,,,,,,,,,,
420404,,CGMU5460193,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-27.8,,-24.7,,,,,,,,,,
,,RMMU4422370,2,,,Checked,,,,,,,,,,,,,,,,
420312,,CGMU5183801,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-24.14,,-24.91,,,,,,,,,,
420310,,SEKU9060827,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-25.88,,-22.69,,,,,,,,,,
420282,,CXRU1638401,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-22.98,,-23.14,,,,,,,,,,
420482,,CGMU5198838,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28.3,,-24.87,,,,,,,,,,
420382,,CGMU5567767,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-25.3,,-19.5,,,,,,,,,,
420184,,TLLU1069667,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-21.69,,-20,,,0,0,,,0,25.5,,
420084,,CGMU5197370,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-26.95,,-24.82,,,,,,,,,,
380306,,APRU5047898,0,COCTG,FRMRS/FRMRS,Unchecked,,0,,-0.3,,0.7,,,,,,,,,,
380408,,CAIU5589600,0,COCTG,FRMRS/FRMRS,Checked,,0.5,,0.5,,0.88,,,0,20.7,,,0,0.1,,
420306,,FSCU5963764,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.8,,-25.3,,,,,,,,,,
